best_match_score,__id_left,__id_right,license_id,address,permit,apn,parsed_address
0.7996819942738517,str-04495l,str-04495l,str-04495l,4003 gros ventre ave 92117,str-04495l,4181120700,4003 gros ventre ave 92117
0.7996819942738517,str-06076l,str-06076l,str-06076l,4078 gros ventre ave 92117,str-06076l,4180612000,4078 gros ventre ave 92117
0.7977488118193796,str-04953l,str-04953l,str-04953l,6878 country club dr 92037,str-04953l,3522900700,6878 country club dr 92037
0.7977488118193796,str-07283l,str-07283l,str-07283l,7651 country club dr 92037,str-07283l,3505120400,7651 country club dr 92037
0.7977488118193796,str-01434l,str-01434l,str-01434l,7649 country club dr 92037,str-01434l,3505120500,7649 country club dr 92037
0.7976288631062972,str-07366l,str-07366l,str-07366l,4175 4175 twilight rdg. 92130,str-07366l,3076902700,4175 twilight rdg 92130
0.7975731189332372,str-06097l,str-06097l,str-06097l,3562 clairemont mesa blvd 92117,str-06097l,3602701200,3562 clairemont mesa blvd 92117
0.7970772651517822,str-07488l,str-07488l,str-07488l,505 island breeze ln 92154,str-07488l,6451903500,505 island breeze ln 92154
0.796133800672091,str-00906l,str-00906l,str-00906l,3561 park villa dr 92104,str-00906l,4533201800,3561 park villa dr 92104
0.7955355228076876,str-04104l,str-04104l,str-04104l,5918 germaine ln 92037,str-04104l,3572920400,5918 germaine ln 92037
0.7955101464794263,str-04400l,str-04400l,str-04400l,5876 ciudad leon court 92120,str-04400l,4636125500,5876 ciudad leon court 92120
0.7944383557077035,str-02939l,str-02939l,str-02939l,10449 la morada dr 92124,str-02939l,3722021300,10449 la morada dr 92124
0.7941050036481992,str-07291l,str-07291l,str-07291l,10971 swansea pl 92126,str-07291l,3111612100,10971 swansea pl 92126
0.7932610997228353,str-07235l,str-07235l,str-07235l,4208 calle isabelino 92130,str-07235l,3074904900,4208 calle isabelino 92130
0.7919898868405553,str-01292l,str-01292l,str-01292l,13565 mira montana dr 92014,str-01292l,3013500800,13565 mira montana dr 92014
0.7910541328563183,str-07963l,str-07963l,str-07963l,4337 n talmadge dr 92116,str-07963l,4653230300,4337 n talmadge dr 92116
